# base euler_x28: t0 = 0.002208111515, T = 0.002278, T - t0 = 6.988848e-05; raw rates from axi3dlin_m0_x28_N512.log
fraction,sigma_Tt,sigma_raw,t,trans,sigma_perp_Tt
0.014566,0.383457,5.486700e+03,0.0022091295,,
0.029132,0.417101,5.968100e+03,0.0022101475,,
0.043712,0.444099,6.354400e+03,0.0022111665,,
0.058279,0.464842,6.651200e+03,0.0022121845,,
0.072845,0.479798,6.865200e+03,0.0022132025,,
0.087411,0.489478,7.003700e+03,0.0022142205,,
0.101977,0.494447,7.074800e+03,0.0022152385,,
0.116557,0.495286,7.086800e+03,0.0022162575,,
0.131123,0.492567,7.047900e+03,0.0022172755,,
0.145661,0.486885,6.966600e+03,0.0022182915,,
0.160255,0.478806,6.851000e+03,0.0022193115,,
0.174850,0.468861,6.708700e+03,0.0022203315,,
0.189445,0.457574,6.547200e+03,0.0022213515,,
0.203896,0.445413,6.373200e+03,0.0022223615,,
0.218491,0.432833,6.193200e+03,0.0022233815,,
0.233086,0.420225,6.012800e+03,0.0022244015,,
0.247680,0.407960,5.837300e+03,0.0022254215,,
0.262275,0.396359,5.671300e+03,0.0022264415,,
0.276870,0.385694,5.518700e+03,0.0022274615,,
0.291321,0.376210,5.383000e+03,0.0022284715,,
