# base euler_x28: t0 = 0.002208111515, T = 0.002278, T - t0 = 6.988848e-05; raw rates from axi3dtl_x28_m0_loc.log
fraction,sigma_Tt,sigma_raw,t,trans,sigma_perp_Tt
0.007224,0.371000,5.347085e+03,0.0022086164,0.109,
0.014424,0.385000,5.589398e+03,0.0022091196,0.108,
0.021596,0.398000,5.820483e+03,0.0022096208,0.107,
0.028743,0.409000,6.025365e+03,0.0022101203,0.106,
0.035863,0.419000,6.218269e+03,0.0022106179,0.105,
0.042957,0.427000,6.383968e+03,0.0022111137,0.104,
0.050025,0.434000,6.536903e+03,0.0022116077,0.102,
0.057066,0.440000,6.676763e+03,0.0022120998,0.101,
0.064085,0.445000,6.803272e+03,0.0022125903,0.100,
0.071074,0.449000,6.916077e+03,0.0022130788,0.099,
0.078041,0.451000,6.999378e+03,0.0022135657,0.098,
0.084982,0.453000,7.083748e+03,0.0022140508,0.097,
0.091898,0.454000,7.153448e+03,0.0022145341,0.095,
0.098787,0.454000,7.208134e+03,0.0022150156,0.094,
0.105652,0.453000,7.247467e+03,0.0022154954,0.093,
0.112493,0.452000,7.287208e+03,0.0022159735,0.092,
0.119310,0.450000,7.311117e+03,0.0022164499,0.091,
0.126101,0.448000,7.335184e+03,0.0022169245,0.090,
0.132867,0.445000,7.342919e+03,0.0022173974,0.088,
0.139609,0.441000,7.333939e+03,0.0022178686,0.087,
0.146326,0.437000,7.324595e+03,0.0022183380,0.086,
0.153012,0.433000,7.314844e+03,0.0022188053,0.085,
0.159670,0.429000,7.304689e+03,0.0022192706,0.084,
0.166299,0.425000,7.294121e+03,0.0022197339,0.083,
0.172900,0.420000,7.265833e+03,0.0022201952,0.082,
0.179471,0.416000,7.254275e+03,0.0022206545,0.081,
0.186016,0.412000,7.242288e+03,0.0022211119,0.080,
0.192531,0.408000,7.229838e+03,0.0022215672,0.079,
0.199018,0.404000,7.216941e+03,0.0022220206,0.078,
0.205477,0.400000,7.203573e+03,0.0022224720,0.077,
0.211909,0.396000,7.189738e+03,0.0022229215,0.076,
0.218313,0.393000,7.193731e+03,0.0022233691,0.076,
0.224689,0.391000,7.215979e+03,0.0022238147,0.075,
0.231039,0.389000,7.238354e+03,0.0022242585,0.074,
0.237361,0.387000,7.260829e+03,0.0022247003,0.073,
0.243657,0.386000,7.302349e+03,0.0022251403,0.072,
0.249924,0.386000,7.363363e+03,0.0022255783,0.071,
0.256166,0.386000,7.425162e+03,0.0022260146,0.071,
0.262381,0.387000,7.507114e+03,0.0022264489,0.070,
0.268569,0.389000,7.609755e+03,0.0022268814,0.069,
