# base euler_x28: t0 = 0.002208111515, T = 0.002278, T - t0 = 6.988848e-05; raw rates from axi3dtl_x28_m0_rand.log
fraction,sigma_Tt,sigma_raw,t,trans,sigma_perp_Tt
0.007224,0.093000,1.340374e+03,0.0022086164,0.084,
0.014424,0.143000,2.076062e+03,0.0022091196,0.085,
0.021596,0.192000,2.807871e+03,0.0022096208,0.085,
0.028743,0.239000,3.520935e+03,0.0022101203,0.085,
0.035863,0.284000,4.214769e+03,0.0022106179,0.085,
0.042957,0.326000,4.873943e+03,0.0022111137,0.085,
0.050025,0.367000,5.527749e+03,0.0022116077,0.086,
0.057066,0.405000,6.145657e+03,0.0022120998,0.086,
0.064085,0.440000,6.726831e+03,0.0022125903,0.086,
0.071074,0.474000,7.301159e+03,0.0022130788,0.086,
0.078041,0.505000,7.837441e+03,0.0022135657,0.086,
0.084982,0.533000,8.334741e+03,0.0022140508,0.086,
0.091898,0.559000,8.807880e+03,0.0022145341,0.086,
0.098787,0.583000,9.256260e+03,0.0022150156,0.086,
0.105652,0.605000,9.679288e+03,0.0022154954,0.086,
0.112493,0.624000,1.006022e+04,0.0022159735,0.086,
0.119310,0.642000,1.043053e+04,0.0022164499,0.086,
0.126101,0.657000,1.075718e+04,0.0022169245,0.085,
0.132867,0.671000,1.107213e+04,0.0022173974,0.085,
0.139609,0.682000,1.134183e+04,0.0022178686,0.085,
0.146326,0.692000,1.159867e+04,0.0022183380,0.085,
0.153012,0.701000,1.184228e+04,0.0022188053,0.085,
0.159670,0.707000,1.203826e+04,0.0022192706,0.084,
0.166299,0.712000,1.221980e+04,0.0022197339,0.084,
0.172900,0.716000,1.238651e+04,0.0022201952,0.084,
0.179471,0.718000,1.252060e+04,0.0022206545,0.083,
0.186016,0.719000,1.263885e+04,0.0022211119,0.083,
0.192531,0.718000,1.272310e+04,0.0022215672,0.083,
0.199018,0.717000,1.280828e+04,0.0022220206,0.082,
0.205477,0.715000,1.287639e+04,0.0022224720,0.082,
0.211909,0.712000,1.292700e+04,0.0022229215,0.082,
0.218313,0.710000,1.299631e+04,0.0022233691,0.081,
0.224689,0.708000,1.306627e+04,0.0022238147,0.081,
0.231039,0.706000,1.313696e+04,0.0022242585,0.080,
0.237361,0.704000,1.320833e+04,0.0022247003,0.080,
0.243657,0.702000,1.328044e+04,0.0022251403,0.079,
0.249924,0.699000,1.333417e+04,0.0022255783,0.079,
0.256166,0.696000,1.338837e+04,0.0022260146,0.078,
0.262381,0.693000,1.344297e+04,0.0022264489,0.078,
0.268569,0.691000,1.351758e+04,0.0022268814,0.077,
