# base euler_x28: t0 = 0.002208111515, T = 0.002278, T - t0 = 6.988848e-05; raw rates from axi3dlin_m1b_x28.log
fraction,sigma_Tt,sigma_raw,t,trans,sigma_perp_Tt
0.021706,0.183926,2.631700e+03,0.0022096285,,
0.043426,0.232470,3.326300e+03,0.0022111465,,
0.065132,0.275193,3.937600e+03,0.0022126635,,
0.086838,0.312639,4.473400e+03,0.0022141805,,
0.108544,0.345522,4.943900e+03,0.0022156975,,
0.130265,0.374665,5.360900e+03,0.0022172155,,
0.151956,0.400915,5.736500e+03,0.0022187315,,
0.173705,0.425104,6.082600e+03,0.0022202515,,
0.195454,0.447964,6.409700e+03,0.0022217715,,
0.217060,0.470133,6.726900e+03,0.0022232815,,
0.238809,0.492092,7.041100e+03,0.0022248015,,
0.260558,0.514191,7.357300e+03,0.0022263215,,
0.282164,0.536597,7.677900e+03,0.0022278315,,
0.303913,0.559373,8.003800e+03,0.0022293515,,
0.325662,0.582458,8.334100e+03,0.0022308715,,
0.347411,0.605682,8.666400e+03,0.0022323915,,
0.369016,0.628843,8.997800e+03,0.0022339015,,
0.390765,0.651668,9.324400e+03,0.0022354215,,
0.412514,0.673921,9.642800e+03,0.0022369415,,
0.434263,0.695335,9.949200e+03,0.0022384615,,
