# base euler_x28: t0 = 0.002208111515, T = 0.002278, T - t0 = 6.988848e-05; raw rates from axi3dlin_m1b_x28_N2048.log
fraction,sigma_Tt,sigma_raw,t,trans,sigma_perp_Tt
0.014480,0.175602,2.512600e+03,0.0022091235,,
0.028946,0.209309,2.994900e+03,0.0022101345,,
0.043426,0.240340,3.438900e+03,0.0022111465,,
0.057892,0.268812,3.846300e+03,0.0022121575,,
0.072372,0.294887,4.219400e+03,0.0022131695,,
0.086838,0.318768,4.561100e+03,0.0022141805,,
0.101319,0.340671,4.874500e+03,0.0022151925,,
0.115784,0.360855,5.163300e+03,0.0022162035,,
0.130265,0.379564,5.431000e+03,0.0022172155,,
0.144802,0.397050,5.681200e+03,0.0022182315,,
0.159254,0.413558,5.917400e+03,0.0022192415,,
0.173705,0.429325,6.143000e+03,0.0022202515,,
0.188157,0.444561,6.361000e+03,0.0022212615,,
0.202608,0.459447,6.574000e+03,0.0022222715,,
0.217060,0.474144,6.784300e+03,0.0022232815,,
0.231512,0.488786,6.993800e+03,0.0022242915,,
0.246106,0.503470,7.203900e+03,0.0022253115,,
0.260558,0.518258,7.415500e+03,0.0022263215,,
0.275010,0.533200,7.629300e+03,0.0022273315,,
0.289461,0.548303,7.845400e+03,0.0022283415,,
