# base euler_x28: t0 = 0.002208111515, T = 0.002278, T - t0 = 6.988848e-05; raw rates from axi3dlin_m1h_x28.log
fraction,sigma_Tt,sigma_raw,t,trans,sigma_perp_Tt
0.014566,0.174672,2.499300e+03,0.0022091295,,
0.029132,0.208547,2.984000e+03,0.0022101475,,
0.043712,0.239676,3.429400e+03,0.0022111665,,
0.058279,0.268190,3.837400e+03,0.0022121845,,
0.072845,0.294265,4.210500e+03,0.0022132025,,
0.087411,0.318118,4.551800e+03,0.0022142205,,
0.101977,0.339973,4.864500e+03,0.0022152385,,
0.116557,0.360079,5.152200e+03,0.0022162575,,
0.131123,0.378698,5.418600e+03,0.0022172755,,
0.145661,0.396086,5.667400e+03,0.0022182915,,
0.160255,0.412489,5.902100e+03,0.0022193115,,
0.174850,0.428144,6.126100e+03,0.0022203315,,
0.189445,0.443268,6.342500e+03,0.0022213515,,
0.203896,0.458049,6.554000e+03,0.0022223615,,
0.218491,0.472649,6.762900e+03,0.0022233815,,
0.233086,0.487200,6.971100e+03,0.0022244015,,
0.247680,0.501799,7.180000e+03,0.0022254215,,
0.262275,0.516525,7.390700e+03,0.0022264415,,
0.276870,0.531418,7.603800e+03,0.0022274615,,
0.291321,0.546493,7.819500e+03,0.0022284715,,
