# base euler_x28: t0 = 0.002208111515, T = 0.002278, T - t0 = 6.988848e-05; raw rates from axi3dtl_m1_x28.log
fraction,sigma_Tt,sigma_raw,t,trans,sigma_perp_Tt
0.014000,0.172000,2.496008e+03,0.0022090900,0.067,0.138577
0.029000,0.201000,2.961906e+03,0.0022101383,0.075,0.162546
0.043000,0.228000,3.408924e+03,0.0022111167,0.082,0.184844
0.057000,0.254000,3.854042e+03,0.0022120952,0.090,0.206184
0.071000,0.278000,4.281771e+03,0.0022130736,0.098,0.225603
0.085000,0.301000,4.706952e+03,0.0022140520,0.106,0.244129
0.099000,0.322000,5.113585e+03,0.0022150305,0.114,0.260781
0.112000,0.342000,5.510709e+03,0.0022159390,0.122,0.276869
0.126000,0.361000,5.910036e+03,0.0022169175,0.130,0.291801
0.140000,0.380000,6.322364e+03,0.0022178959,0.138,0.306890
0.153000,0.398000,6.723479e+03,0.0022188045,0.147,0.321406
0.166000,0.415000,7.119941e+03,0.0022197130,0.155,0.335069
0.179000,0.433000,7.546388e+03,0.0022206216,0.162,0.349889
0.193000,0.450000,7.978722e+03,0.0022216000,0.170,0.363651
0.205000,0.468000,8.423122e+03,0.0022224387,0.178,0.379042
0.218000,0.486000,8.892500e+03,0.0022233472,0.186,0.394406
0.231000,0.504000,9.377748e+03,0.0022242558,0.194,0.409988
0.244000,0.522000,9.879685e+03,0.0022251643,0.201,0.425813
0.256000,0.540000,1.038521e+04,0.0022260030,0.209,0.442044
0.269000,0.559000,1.094180e+04,0.0022269115,0.217,0.459418
0.281000,0.578000,1.150253e+04,0.0022277502,0.224,0.477212
0.293000,0.597000,1.208229e+04,0.0022285888,0.231,0.495319
0.305000,0.616000,1.268207e+04,0.0022294275,0.238,0.513771
0.317000,0.635000,1.330293e+04,0.0022302662,0.245,0.532598
0.329000,0.653000,1.392467e+04,0.0022311048,0.252,0.550830
0.341000,0.671000,1.456906e+04,0.0022319435,0.259,0.569498
0.353000,0.689000,1.523735e+04,0.0022327822,0.265,0.588631
0.364000,0.706000,1.588334e+04,0.0022335509,0.271,0.607100
0.376000,0.722000,1.655568e+04,0.0022343896,0.277,0.625194
0.387000,0.737000,1.720289e+04,0.0022351584,0.283,0.642578
0.398000,0.751000,1.784998e+04,0.0022359271,0.288,0.659418
0.409000,0.764000,1.849696e+04,0.0022366959,0.294,0.675720
0.420000,0.776000,1.914380e+04,0.0022374647,0.299,0.691484
0.431000,0.787000,1.979050e+04,0.0022382335,0.303,0.706706
0.442000,0.797000,2.043706e+04,0.0022390022,0.308,0.721373
0.453000,0.806000,2.108347e+04,0.0022397710,0.312,0.735467
0.463000,0.815000,2.171589e+04,0.0022404699,0.316,0.749448
0.474000,0.822000,2.236045e+04,0.0022412387,0.319,0.762282
0.484000,0.829000,2.298790e+04,0.0022419375,0.323,0.774877
0.494000,0.836000,2.364015e+04,0.0022426364,0.325,0.787712
