# base ns_x144: t0 = 0.002262022034, T = 0.0022865, T - t0 = 2.447797e-05; raw rates from axi3dtl_ns144_nu1e-3_m1_rand.log
fraction,sigma_Tt,sigma_raw,t,trans,sigma_perp_Tt
0.006547,-0.318236,-1.308661e+04,0.0022621823,0.036,-0.320806
0.013072,-0.206742,-8.557926e+03,0.0022623420,0.036,-0.207034
0.019571,-0.096002,-4.000284e+03,0.0022625011,0.036,-0.094905
0.026047,0.018649,7.822482e+02,0.0022626596,0.036,0.020450
0.032497,0.137267,5.796147e+03,0.0022628175,0.035,0.139283
0.038927,0.261475,1.111473e+04,0.0022629749,0.035,0.263380
0.045325,0.385061,1.647779e+04,0.0022631315,0.035,0.386658
0.051690,0.501719,2.161398e+04,0.0022632873,0.035,0.502905
0.058022,0.609795,2.644649e+04,0.0022634423,0.034,0.610533
0.064326,0.702841,3.068720e+04,0.0022635966,0.034,0.703134
0.070593,0.782281,3.438596e+04,0.0022637500,0.034,0.782158
0.076827,0.847960,3.752465e+04,0.0022639026,0.034,0.847461
0.083032,0.904548,4.029974e+04,0.0022640545,0.034,0.903717
0.089205,0.955170,4.284347e+04,0.0022642056,0.035,0.954045
0.095346,0.999756,4.514772e+04,0.0022643559,0.035,0.998365
0.101457,1.043127,4.742673e+04,0.0022645055,0.035,1.041487
0.107536,1.083634,4.960399e+04,0.0022646543,0.035,1.081746
0.113586,1.119602,5.160029e+04,0.0022648024,0.036,1.117452
0.119604,1.150974,5.340873e+04,0.0022649497,0.036,1.148534
0.125589,1.177692,5.502255e+04,0.0022650962,0.037,1.174923
0.131550,1.199703,5.643562e+04,0.0022652421,0.037,1.196558
0.137477,1.216939,5.763986e+04,0.0022653872,0.038,1.213366
0.143377,1.239430,5.910943e+04,0.0022655316,0.039,1.235382
0.149243,1.268939,6.093405e+04,0.0022656752,0.039,1.264379
0.155085,1.307277,6.320905e+04,0.0022658182,0.040,1.302187
0.160894,1.346037,6.553374e+04,0.0022659604,0.041,1.340436
0.166675,1.383521,6.782596e+04,0.0022661019,0.042,1.377473
0.172427,1.414546,6.982896e+04,0.0022662427,0.043,1.408182
0.178151,1.440753,7.161795e+04,0.0022663828,0.044,1.434289
0.183850,1.469038,7.353390e+04,0.0022665223,0.045,1.462796
0.189516,1.495930,7.540347e+04,0.0022666610,0.046,1.490356
0.195158,1.526697,7.749377e+04,0.0022667991,0.047,1.522380
0.200767,1.561396,7.981127e+04,0.0022669364,0.047,1.559066
