# base ns_x144: t0 = 0.002262022034, T = 0.0022865, T - t0 = 2.447797e-05; raw rates from axi3dtl_ns144_nu5e-3_m1_loc.log
fraction,sigma_Tt,sigma_raw,t,trans,sigma_perp_Tt
0.006547,0.184485,7.586438e+03,0.0022621823,0.069,0.128227
0.013072,0.208285,8.621791e+03,0.0022623420,0.074,0.146969
0.019575,0.229168,9.549126e+03,0.0022625012,0.080,0.162916
0.026055,0.251764,1.056049e+04,0.0022626598,0.085,0.180709
0.032509,0.272977,1.152666e+04,0.0022628178,0.091,0.197247
0.038944,0.292792,1.244617e+04,0.0022629753,0.096,0.212503
0.045354,0.312769,1.338463e+04,0.0022631322,0.102,0.228022
0.051735,0.332911,1.434242e+04,0.0022632884,0.107,0.243792
0.058088,0.351636,1.525134e+04,0.0022634439,0.113,0.258212
0.064412,0.370522,1.617909e+04,0.0022635987,0.118,0.272838
0.070703,0.389571,1.712605e+04,0.0022637527,0.124,0.287655
0.076966,0.407186,1.802185e+04,0.0022639060,0.129,0.301048
0.083196,0.424958,1.893627e+04,0.0022640585,0.135,0.314596
0.089397,0.442894,1.986990e+04,0.0022642103,0.140,0.328294
0.095570,0.459374,2.074993e+04,0.0022643614,0.146,0.340517
0.101715,0.476013,2.164855e+04,0.0022645118,0.151,0.352875
0.107830,0.492813,2.256626e+04,0.0022646615,0.156,0.365376
0.113913,0.509779,2.350337e+04,0.0022648104,0.162,0.378032
0.119968,0.526915,2.446056e+04,0.0022649586,0.167,0.390858
0.125998,0.542569,2.536103e+04,0.0022651062,0.173,0.402212
0.131995,0.560053,2.635914e+04,0.0022652530,0.178,0.415430
0.137968,0.576049,2.729985e+04,0.0022653992,0.184,0.427210
0.143908,0.592217,2.826083e+04,0.0022655446,0.189,0.439242
0.149823,0.606876,2.916186e+04,0.0022656894,0.194,0.449865
0.155710,0.623401,3.016480e+04,0.0022658335,0.200,0.462483
0.161568,0.640115,3.118996e+04,0.0022659769,0.205,0.475448
0.167398,0.655307,3.215380e+04,0.0022661196,0.211,0.487078
0.173203,0.670685,3.313938e+04,0.0022662617,0.216,0.499103
0.178980,0.686250,3.414706e+04,0.0022664031,0.221,0.511555
0.184732,0.702011,3.517777e+04,0.0022665439,0.226,0.524463
0.190456,0.717971,3.623188e+04,0.0022666840,0.231,0.537853
0.196151,0.732375,3.722062e+04,0.0022668234,0.237,0.549987
0.201821,0.748744,3.832285e+04,0.0022669622,0.242,0.564395
0.207463,0.763550,3.935888e+04,0.0022671003,0.247,0.577557
0.213084,0.778567,4.041962e+04,0.0022672379,0.252,0.591245
0.218673,0.791990,4.141060e+04,0.0022673747,0.257,0.603651
0.224241,0.807426,4.252074e+04,0.0022675110,0.262,0.618364
0.229781,0.821265,4.356057e+04,0.0022676466,0.266,0.631753
0.235296,0.835316,4.462538e+04,0.0022677816,0.271,0.645594
0.240782,0.847739,4.561637e+04,0.0022679159,0.276,0.658006
