# base ns_x144: t0 = 0.002262022034, T = 0.0022865, T - t0 = 2.447797e-05; raw rates from axi3dtl_m1_ns144.log
fraction,sigma_Tt,sigma_raw,t,trans,sigma_perp_Tt
0.009791,0.194051,8.005949e+03,0.0022622617,0.072,0.136082
0.019582,0.227620,9.484711e+03,0.0022625014,0.080,0.162559
0.029374,0.260027,1.094439e+04,0.0022627410,0.088,0.187775
0.039165,0.292831,1.245066e+04,0.0022629807,0.096,0.213305
0.048303,0.322772,1.385547e+04,0.0022632044,0.104,0.236397
0.058095,0.353222,1.532022e+04,0.0022634441,0.113,0.259452
0.067233,0.380743,1.667570e+04,0.0022636678,0.121,0.280027
0.077024,0.410408,1.816561e+04,0.0022639074,0.129,0.302210
0.086163,0.437091,1.954016e+04,0.0022641311,0.138,0.321884
0.095301,0.464158,2.095978e+04,0.0022643548,0.146,0.341928
0.104440,0.491627,2.242672e+04,0.0022645785,0.154,0.362376
0.113578,0.517875,2.386762e+04,0.0022648022,0.162,0.381622
0.122717,0.544545,2.535820e+04,0.0022650259,0.171,0.401336
0.131203,0.571373,2.686741e+04,0.0022652336,0.179,0.421771
0.140341,0.597256,2.838304e+04,0.0022654573,0.187,0.440872
0.149480,0.623606,2.995370e+04,0.0022656810,0.196,0.460590
0.157965,0.650097,3.154080e+04,0.0022658887,0.204,0.481095
0.166451,0.677058,3.318328e+04,0.0022660964,0.212,0.502282
0.174937,0.702788,3.479861e+04,0.0022663041,0.220,0.522499
0.183422,0.729015,3.647234e+04,0.0022665118,0.228,0.543524
0.191908,0.755766,3.820772e+04,0.0022667196,0.236,0.565443
0.200394,0.783070,4.000820e+04,0.0022669273,0.244,0.588347
0.208880,0.809177,4.178549e+04,0.0022671350,0.252,0.610549
0.217365,0.834075,4.353822e+04,0.0022673427,0.260,0.632106
0.225198,0.860789,4.538693e+04,0.0022675344,0.267,0.656298
0.233684,0.885059,4.718336e+04,0.0022677421,0.275,0.678511
0.241517,0.911142,4.907552e+04,0.0022679339,0.282,0.703381
0.250003,0.934829,5.092102e+04,0.0022681416,0.289,0.726564
0.257836,0.958448,5.275861e+04,0.0022683333,0.296,0.750526
0.265669,0.980803,5.456503e+04,0.0022685251,0.303,0.774054
0.273502,1.003792,5.644607e+04,0.0022687168,0.309,0.799098
0.281335,1.025520,5.829645e+04,0.0022689085,0.316,0.823809
0.289168,1.045971,6.011420e+04,0.0022691003,0.322,0.848212
0.297001,1.067102,6.201201e+04,0.0022692920,0.328,0.874298
0.304181,1.085945,6.375822e+04,0.0022694678,0.333,0.898588
0.312014,1.104461,6.558361e+04,0.0022696595,0.339,0.924051
0.319847,1.123707,6.749491e+04,0.0022698512,0.344,0.951301
0.327027,1.140486,6.923362e+04,0.0022700270,0.348,0.976343
0.334207,1.157931,7.105072e+04,0.0022702028,0.353,1.002926
0.342040,1.175274,7.297339e+04,0.0022703945,0.357,1.031211
