# base ns_x144: t0 = 0.002262022034, T = 0.0022865, T - t0 = 2.447797e-05; raw rates from axi3dlin_m1r_ns144_N2048.log
fraction,sigma_Tt,sigma_raw,t,trans,sigma_perp_Tt
0.012995,-0.039659,-1.620200e+03,0.0022623401,,
0.025987,0.177201,7.239200e+03,0.0022626581,,
0.038982,0.384696,1.571600e+04,0.0022629762,,
0.051965,0.583065,2.382000e+04,0.0022632940,,
0.064956,0.764153,3.121800e+04,0.0022636120,,
0.077948,0.915745,3.741100e+04,0.0022639300,,
0.090939,1.024501,4.185400e+04,0.0022642480,,
0.103930,1.095707,4.476300e+04,0.0022645660,,
0.116921,1.162238,4.748100e+04,0.0022648840,,
0.129954,1.210044,4.943400e+04,0.0022652030,,
0.142945,1.221157,4.988800e+04,0.0022655210,,
