# base ns_x144: t0 = 0.002262022034, T = 0.0022865, T - t0 = 2.447797e-05; raw rates from axi3dtl_m1r_ns144.log
fraction,sigma_Tt,sigma_raw,t,trans,sigma_perp_Tt
0.009812,-0.078545,-3.240605e+03,0.0022622622,0.036,-0.078354
0.019571,0.082067,3.419598e+03,0.0022625011,0.036,0.083013
0.029274,0.249114,1.048397e+04,0.0022627386,0.035,0.250521
0.038923,0.429006,1.823603e+04,0.0022629748,0.035,0.430599
0.048508,0.610979,2.623288e+04,0.0022632094,0.034,0.612519
0.058014,0.776099,3.365870e+04,0.0022634421,0.034,0.777388
0.067451,0.912955,3.999470e+04,0.0022636731,0.034,0.913841
0.076811,1.019464,4.511342e+04,0.0022639022,0.034,1.019832
0.086101,1.099940,4.916945e+04,0.0022641296,0.034,1.099709
0.095317,1.168523,5.276735e+04,0.0022643552,0.034,1.167641
0.104464,1.229905,5.610652e+04,0.0022645791,0.034,1.228344
0.113542,1.285610,5.924826e+04,0.0022648013,0.035,1.283365
0.122550,1.330575,6.195004e+04,0.0022650218,0.035,1.327664
0.131488,1.362932,6.410960e+04,0.0022652406,0.036,1.359397
0.140362,1.387468,6.593740e+04,0.0022654578,0.037,1.383380
0.149165,1.420920,6.822588e+04,0.0022656733,0.038,1.416379
0.157908,1.473709,7.149521e+04,0.0022658873,0.040,1.468846
0.166581,1.525693,7.478740e+04,0.0022660996,0.041,1.520669
0.175189,1.568239,7.767522e+04,0.0022663103,0.042,1.563242
0.183731,1.602889,8.022229e+04,0.0022665194,0.044,1.598126
0.192212,1.640003,8.294154e+04,0.0022667270,0.045,1.635691
0.200628,1.684951,8.611186e+04,0.0022669330,0.046,1.681305
0.208982,1.736163,8.966628e+04,0.0022671375,0.046,1.733384
0.217276,1.792019,9.353159e+04,0.0022673405,0.047,1.790274
0.225503,1.839959,9.705396e+04,0.0022675419,0.047,1.839371
0.233670,1.872492,9.982258e+04,0.0022677418,0.047,1.873127
0.241779,1.889235,1.017923e+05,0.0022679403,0.047,1.891089
0.249827,1.895346,1.032172e+05,0.0022681373,0.046,1.898346
0.257814,1.894296,1.042701e+05,0.0022683328,0.045,1.898295
0.265740,1.891576,1.052443e+05,0.0022685268,0.044,1.896361
0.273608,1.887151,1.061354e+05,0.0022687194,0.043,1.892451
0.281419,1.886776,1.072678e+05,0.0022689106,0.042,1.892280
0.289169,1.896436,1.089924e+05,0.0022691003,0.040,1.901801
0.296866,1.922399,1.116940e+05,0.0022692887,0.039,1.927270
0.304501,1.961189,1.151987e+05,0.0022694756,0.037,1.965200
0.312079,2.009222,1.193203e+05,0.0022696611,0.037,2.011991
0.319604,2.052555,1.232418e+05,0.0022698453,0.036,2.053658
0.327072,2.088974,1.268205e+05,0.0022700281,0.036,2.087892
0.334483,2.120347,1.301585e+05,0.0022702095,0.037,2.116376
0.341837,2.148631,1.333684e+05,0.0022703895,0.038,2.140739
