# base ns_x144: t0 = 0.002262022034, T = 0.0022865, T - t0 = 2.447797e-05; raw rates from axi3dtl_ns144_m2_rand.log
fraction,sigma_Tt,sigma_raw,t,trans,sigma_perp_Tt
0.006547,-0.127602,-5.247286e+03,0.0022621823,0.000,
0.013072,-0.024686,-1.021842e+03,0.0022623420,0.000,
0.019571,0.080518,3.355077e+03,0.0022625011,0.000,
0.026047,0.191153,8.018044e+03,0.0022626596,0.000,
0.032497,0.311971,1.317306e+04,0.0022628175,0.000,
0.038923,0.441532,1.876847e+04,0.0022629748,0.000,
0.045321,0.573661,2.454838e+04,0.0022631314,0.000,
0.051686,0.703667,3.031374e+04,0.0022632872,0.000,
0.058014,0.823615,3.571944e+04,0.0022634421,0.000,
0.064314,0.931814,4.068399e+04,0.0022635963,0.000,
0.070576,1.024937,4.505137e+04,0.0022637496,0.000,
0.076811,1.106022,4.894381e+04,0.0022639022,0.000,
0.083012,1.176540,5.241646e+04,0.0022640540,0.000,
0.089181,1.242831,5.574484e+04,0.0022642050,0.000,
0.095317,1.304850,5.892355e+04,0.0022643552,0.000,
0.101425,1.365813,6.209569e+04,0.0022645047,0.000,
0.107495,1.424070,6.518465e+04,0.0022646533,0.000,
0.113542,1.477959,6.811277e+04,0.0022648013,0.000,
0.119555,1.527421,7.087308e+04,0.0022649485,0.000,
0.125536,1.570746,7.338184e+04,0.0022650949,0.000,
0.131488,1.606193,7.555214e+04,0.0022652406,0.000,
0.137412,1.637009,7.753044e+04,0.0022653856,0.000,
0.143303,1.666490,7.946946e+04,0.0022655298,0.000,
0.149165,1.703077,8.177371e+04,0.0022656733,0.000,
0.154999,1.743478,8.429157e+04,0.0022658161,0.000,
0.160804,1.782639,8.678105e+04,0.0022659582,0.000,
0.166581,1.817117,8.907264e+04,0.0022660996,0.000,
0.172325,1.843398,9.098794e+04,0.0022662402,0.000,
0.178044,1.866568,9.277268e+04,0.0022663802,0.000,
0.183731,1.886571,9.442015e+04,0.0022665194,0.000,
0.189393,1.906875,9.610298e+04,0.0022666580,0.000,
0.195023,1.927474,9.782046e+04,0.0022667958,0.000,
0.200628,1.951926,9.975603e+04,0.0022669330,0.000,
0.206204,1.976736,1.017337e+05,0.0022670695,0.000,
0.211752,2.005489,1.039399e+05,0.0022672053,0.000,
0.217276,2.031074,1.060087e+05,0.0022673405,0.000,
0.222766,2.051618,1.078375e+05,0.0022674749,0.000,
0.228232,2.067057,1.094185e+05,0.0022676087,0.000,
0.233670,2.077296,1.107407e+05,0.0022677418,0.000,
0.239083,2.084095,1.118935e+05,0.0022678743,0.000,
